company_name,Number_of_Jobs,Average_Rating
Deloitte Shared Services India,6,3.6
Decimal Point Analytics,6,2.7
TechBlocks,6,3.2
Fiserv,6,2.8
Mckinsey & Company,6,3.8
Finbox,6,3.5
Mindteck,6,3.0
Exxon Mobil Corporation,6,3.7
Mott Macdonald,6,3.9
Mphasis,6,3.3
Techcronus,6,4.2
Egon Zehnder,6,3.6
Olam International,6,3.7
Owens & Minor,6,3.6
Netlink Software,6,3.2
Aerobotics7,6,3.6
Aeries Technology,6,3.1
Emerson,6,4.0
Arahas Technologies,6,3.6
Tekskills.Inc,6,3.6
NICE,6,4.4
Advantmed,6,4.1
Whizz Edu Tech,6,3.6
Navsan,6,4.4
Enfuse Solutions,6,4.0
Artex Risk Solutions,6,3.6
India Health Link,6,2.5
Info Services,6,3.8
Hitachi,6,3.9
Hiringhood,6,4.15
Srijan,6,3.1
Spigot Software,6,3.6
Starbucks,6,4.0
Staples,6,3.2
Stimuler,6,1.5
tekskill,5,3.6
IT Services Company,5,3.6
Bloom Energy,5,3.8
Blue Altair,5,3.8
Sunovaa Tech,5,3.6
Stark Industries,5,4.9
Unify Technologies,5,2.8
Unitedlex,5,2.6
Brahma Strategies,5,3.6
Brainvire Infotech,5,2.8
Sprinto Hq,5,2.4
Billennium,5,3.9
Bharat Earn Technology,5,3.6
Inorg,5,4.3
Highbrow Technology Inc,5,2.8
Instatalent Recruit LLP,5,3.6
banking,5,3.6
Hitech Digital Solutions,5,3.7
eTeam Inc.,5,3.6
Indo Fuji Information Technologies,5,3.6
ICU Medical,5,3.9
INGRAM MICRO PLATFORM TECHNOLOGY INDIA PVT LTD,5,3.7
Armakuni,5,4.7
Aumni Techworks,5,4.0
Environmental Resources Management (ERM),5,2.9
Equal Experts,5,4.2
Ness Digital Engineering,5,3.2
Nasdaq,5,3.4
NPS Prism,5,2.5
Eucloid Data Solutions,5,4.0
Winfort,5,3.6
Wize Careers Consultants,5,3.6
Techwize,5,3.6
Teckvalley India,5,3.52
Webkit24,5,3.6
Weblineindia,5,4.4
Nium India,5,3.3
Nordex Engineering And Technology,5,2.8
Elev8 Education,5,3.6
Elevation Capital,5,3.6
Aeris Communications India,5,2.8
Affinity Global Advertising,5,2.8
NiCE,5,3.6
Nextloop Technologies,5,4.6
Awesome Analytics,5,5.0
BDO International Limited,5,3.2
Penthara Technology,5,3.6
Panapps,5,3.8
Airlinepros International Service Center,5,3.6
OrangeMantra,5,3.6
Dow Chemical International Private Limited,5,3.5
Oracle,5,3.3
Agneyas Labs,5,2.9
Edifecs Technologies,5,3.8
Einfochips,5,3.5
Aristok Technologies,5,2.7
